what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1335623730977
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335623732685
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335623751818
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335623754721
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335623758338
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335623759880
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335623776871
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335623776938
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335623778962
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335624333611
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335624335617
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335624351533
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335624352214
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335626875505
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335626877556
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1335626878757
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335626878794
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.window.maximizePart",1335626879398
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335626880220
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1335626921946
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335626921988
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335626922113
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335626922240
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1335626924309
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1335626932813
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1335626945924
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1335626998090
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1335626998276
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1335626998445
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1335626999812
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1335627005835
