what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1335641261532
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335641261583
opened,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1335641262299
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1335641262540
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335641266190
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335641266978
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335641269398
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335641273003
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.1.v20100712,"org.eclipse.jst.jsf.facelet.core",1335641290142
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1335641324098
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335641386726
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335641449514
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1335641547694
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.run",1335641562857
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1335641563909
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1335641565942
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1335641566053
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1335641566208
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1335641567885
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1335641580957
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1335641581425
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1335641583712
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335641593544
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335641594523
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1335641594594
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335641763934
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335641776742
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1335641778151
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335641779153
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335641793328
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1335641793410
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335641795491
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335641816579
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1335641819226
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335641819989
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1335641826468
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.rename",1335641826856
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335641826924
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335641835197
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.rename",1335641840538
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335641840640
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335641845027
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335641939721
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335641942329
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335641943346
